
Network Stats for the last 2000 seconds:

Total Sent Spatial Packets: 37206
Total Requested to Send Spatial Packets: 67165
Total Sent Actor Motion Hints Packets: 3341
Percentage of Usual Bandwidth Used: 58.59%


Total Sent: 332843, 0B (26.18MB)
59  SetCommandsEnabledPacket           4B, Num 2, Avg 2B

Total Received: 72134, 0B (6.97MB)
144 PlayerAuthInputPacket              5.57MB, Num 60864, Avg 95B
1   LoginPacket                        1.07MB, Num 2, Avg 0.54MB
175 SubChunkRequestPacket              138.58KB, Num 1255, Avg 113B
30  InventoryTransactionPacket         94.04KB, Num 1392, Avg 69B
31  MobEquipmentPacket                 51.44KB, Num 1385, Avg 38B
135 ClientCacheBlobStatusPacket        24.40KB, Num 415, Avg 60B
44  AnimatePacket                      16.95KB, Num 5784, Avg 3B
33  InteractPacket                     5.90KB, Num 414, Avg 14B
36  PlayerActionPacket                 4.49KB, Num 446, Avg 10B
147 ItemStackRequestPacket             2.41KB, Num 110, Avg 22B
322 ClientMovementPredictionSyncPacket 300B, Num 5, Avg 60B
152 EmoteListPacket                    136B, Num 2, Avg 68B
47  ContainerClosePacket               120B, Num 30, Avg 4B
321 ClientCameraAimAssistPacket        30B, Num 6, Avg 5B
45  RespawnPacket                      30B, Num 2, Avg 15B
101 ModalFormResponsePacket            26B, Num 4, Avg 6B
312 ServerboundLoadingScreenPacket     16B, Num 4, Avg 4B
8   ResourcePackClientResponsePacket   16B, Num 4, Avg 4B
193 RequestNetworkSettingsPacket       12B, Num 2, Avg 6B
69  RequestChunkRadiusPacket           6B, Num 2, Avg 3B
129 ClientCacheStatusPacket            6B, Num 2, Avg 3B
113 SetLocalPlayerAsInitializedPacket  4B, Num 2, Avg 2B
4   ClientToServerHandshakePacket      2B, Num 2, Avg 1B

